,Sitename,ID,Year,Month,Lat,Long,Subwatershed,Watershed,Sample_Type,clusters,cluster_name,cdem_altitude,cdsm_altitude
1,STREAM_LLCXXX_B_XBHC_0010_A_20190905_COI,X2019_51.252639_114.390833,2019,9,51.252639,-114.390833,Bow,Lower Saskatchewan,,3,Northeast,1251.0,1247.947
2,STREAM_LLCXXX_B_XBHC_0010_B_20190905_COI,X2019_51.252639_114.390833,2019,9,51.252639,-114.390833,Bow,Lower Saskatchewan,,3,Northeast,1251.0,1247.947
3,STREAM_LLCXXX_B_XBHC_0011_A_20190905_COI,X2019_51.252639_114.390833,2019,9,51.252639,-114.390833,Bow,Lower Saskatchewan,,3,Northeast,1251.0,1247.947
4,STREAM_ADVSCI_B_XDUT_0001_A_20190926_COI,X2019_50.31307_115.906608,2019,9,50.31307,-115.906608,Columbia,Columbia,,1,Central,852.0,849.53
5,STREAM_ADVSCI_B_XDUT_0001_B_20190926_COI,X2019_50.31307_115.906608,2019,9,50.31307,-115.906608,Columbia,Columbia,,1,Central,852.0,849.53
6,STREAM_ADVSCI_B_XDUT_0001_C_20190926_COI,X2019_50.31307_115.906608,2019,9,50.31307,-115.906608,Columbia,Columbia,,1,Central,852.0,849.53
7,STREAM_ADVSCI_B_XFMT_0001_A_20190926_COI,X2019_50.328661_115.838264,2019,9,50.328661,-115.838264,Columbia,Columbia,,1,Central,1007.0,1011.297
8,STREAM_ADVSCI_B_XFMT_0001_B_20190926_COI,X2019_50.328661_115.838264,2019,9,50.328661,-115.838264,Columbia,Columbia,,1,Central,1007.0,1011.297
9,STREAM_ADVSCI_B_XFMT_0001_C_20190926_COI,X2019_50.328661_115.838264,2019,9,50.328661,-115.838264,Columbia,Columbia,,1,Central,1007.0,1011.297
10,STREAM_ADVSCI_B_XFMT_0002_A_20190926_COI,X2019_50.32859_115.835051,2019,9,50.32859,-115.835051,Columbia,Columbia,,1,Central,1044.0,1053.043
11,STREAM_ADVSCI_B_XFMT_0002_B_20190926_COI,X2019_50.32859_115.835051,2019,9,50.32859,-115.835051,Columbia,Columbia,,1,Central,1044.0,1053.043
12,STREAM_ADVSCI_B_XFMT_0002_C_20190926_COI,X2019_50.32859_115.835051,2019,9,50.32859,-115.835051,Columbia,Columbia,,1,Central,1044.0,1053.043
13,STREAM_ADVSCI_B_XWMC_0001_A_20190926_COI,X2019_50.49465_115.91017,2019,9,50.49465,-115.91017,Columbia,Columbia,,1,Central,1100.0,1111.304
14,STREAM_ADVSCI_B_XWMC_0001_B_20190926_COI,X2019_50.49465_115.91017,2019,9,50.49465,-115.91017,Columbia,Columbia,,1,Central,1100.0,1111.304
15,STREAM_ADVSCI_B_XWMC_0001_C_20190926_COI,X2019_50.49465_115.91017,2019,9,50.49465,-115.91017,Columbia,Columbia,,1,Central,1100.0,1111.304
16,STREAM_ADVSCI_B_XWMC_0002_A_20190926_COI,X2019_50.49365_115.89822,2019,9,50.49365,-115.89822,Columbia,Columbia,,1,Central,1126.0,1132.58
17,STREAM_ADVSCI_B_XWMC_0002_B_20190926_COI,X2019_50.49365_115.89822,2019,9,50.49365,-115.89822,Columbia,Columbia,,1,Central,1126.0,1132.58
18,STREAM_ADVSCI_B_XWMC_0002_C_20190926_COI,X2019_50.49365_115.89822,2019,9,50.49365,-115.89822,Columbia,Columbia,,1,Central,1126.0,1132.58
19,STREAM_ADVSCI_B_XSPC_0001_A_20190926_COI,X2019_50.4649_116.2345,2019,9,50.4649,-116.2345,Columbia,Columbia,,1,Central,1165.0,1175.051
20,STREAM_ADVSCI_B_XSPC_0001_B_20190926_COI,X2019_50.4649_116.2345,2019,9,50.4649,-116.2345,Columbia,Columbia,,1,Central,1165.0,1175.051
21,STREAM_ADVSCI_B_XSPC_0001_C_20190926_COI,X2019_50.4649_116.2345,2019,9,50.4649,-116.2345,Columbia,Columbia,,1,Central,1165.0,1175.051
22,STREAM_ADVSCI_B_XNEV_0001_A_20190926_COI,X2019_50.5024_116.0783,2019,9,50.5024,-116.0783,Columbia,Columbia,,1,Central,895.0,912.72
23,STREAM_ADVSCI_B_XNEV_0001_B_20190926_COI,X2019_50.5024_116.0783,2019,9,50.5024,-116.0783,Columbia,Columbia,,1,Central,895.0,912.72
24,STREAM_ADVSCI_B_XNEV_0001_C_20190926_COI,X2019_50.5024_116.0783,2019,9,50.5024,-116.0783,Columbia,Columbia,,1,Central,895.0,912.72
25,STREAM_ADVSCI_B_XKYC_0001_A_20190926_COI,X2019_50.761388_116.134186,2019,9,50.761388,-116.134186,Columbia,Columbia,,1,Central,1092.0,1123.351
26,STREAM_ADVSCI_B_XKYC_0001_B_20190926_COI,X2019_50.761388_116.134186,2019,9,50.761388,-116.134186,Columbia,Columbia,,1,Central,1092.0,1123.351
27,STREAM_ADVSCI_B_XKYC_0001_C_20190926_COI,X2019_50.761388_116.134186,2019,9,50.761388,-116.134186,Columbia,Columbia,,1,Central,1092.0,1123.351
28,STREAM_ADVSCI_B_XKYC_0002_A_20190926_COI,X2019_50.761635_116.132435,2019,9,50.761635,-116.132435,Columbia,Columbia,,1,Central,1067.0,1108.033
29,STREAM_ADVSCI_B_XKYC_0002_B_20190926_COI,X2019_50.761635_116.132435,2019,9,50.761635,-116.132435,Columbia,Columbia,,1,Central,1067.0,1108.033
30,STREAM_ADVSCI_B_XKYC_0002_C_20190926_COI,X2019_50.761635_116.132435,2019,9,50.761635,-116.132435,Columbia,Columbia,,1,Central,1067.0,1108.033
31,STREAM_ADVSCI_B_XKYC_0003_A_20190926_COI,X2019_50.765465_116.134499,2019,9,50.765465,-116.134499,Columbia,Columbia,,1,Central,1354.0,1347.606
32,STREAM_ADVSCI_B_XKYC_0003_B_20190926_COI,X2019_50.765465_116.134499,2019,9,50.765465,-116.134499,Columbia,Columbia,,1,Central,1354.0,1347.606
33,STREAM_ADVSCI_B_XKYC_0003_C_20190926_COI,X2019_50.765465_116.134499,2019,9,50.765465,-116.134499,Columbia,Columbia,,1,Central,1354.0,1347.606
34,STREAM_ADVSCI_B_XKYC_0004_A_20190926_COI,X2019_50.765583_116.107834,2019,9,50.765583,-116.107834,Columbia,Columbia,,1,Central,1167.0,1175.717
35,STREAM_ADVSCI_B_XKYC_0004_B_20190926_COI,X2019_50.765583_116.107834,2019,9,50.765583,-116.107834,Columbia,Columbia,,1,Central,1167.0,1175.717
36,STREAM_ADVSCI_B_XKYC_0004_C_20190926_COI,X2019_50.765583_116.107834,2019,9,50.765583,-116.107834,Columbia,Columbia,,1,Central,1167.0,1175.717
37,STREAM_ADVSCI_B_XKYC_0005_A_20190926_COI,X2019_50.761014_116.097443,2019,9,50.761014,-116.097443,Columbia,Columbia,,1,Central,1225.0,1235.433
38,STREAM_ADVSCI_B_XKYC_0005_B_20190926_COI,X2019_50.761014_116.097443,2019,9,50.761014,-116.097443,Columbia,Columbia,,1,Central,1225.0,1235.433
39,STREAM_ADVSCI_B_XKYC_0005_C_20190926_COI,X2019_50.761014_116.097443,2019,9,50.761014,-116.097443,Columbia,Columbia,,1,Central,1225.0,1235.433
40,STREAM_ALESSX_B_XWIL_0001_A_20190909_COI,X2019_50.02999_117.409579,2019,9,50.02999,-117.409579,Columbia,Columbia,,4,West,553.0,544.981
41,STREAM_ALESSX_B_XWIL_0001_B_20190909_COI,X2019_50.02999_117.409579,2019,9,50.02999,-117.409579,Columbia,Columbia,,4,West,553.0,544.981
